model_link_id,ROUTE_SYS,legacy_osm_lanes,mndot,widot,anoka,hennepin,carver,dakota,washington,naive,osm_min,osm_max,osm_mode
257,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
258,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
259,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
260,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
261,5,0,1,0,0,0,0,0,0,1,NA,NA,NA
262,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
263,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
264,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
265,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
266,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
267,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
268,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
269,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
270,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
271,5,0,1,0,0,0,0,0,0,1,NA,NA,NA
272,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
273,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
274,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
275,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
276,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
277,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
278,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
279,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
280,5,0,2,0,0,0,0,0,0,1,NA,NA,NA
281,10,0,2,0,0,0,0,0,0,1,NA,NA,NA
282,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
283,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
284,5,0,2,0,0,0,0,0,0,1,NA,NA,NA
285,5,0,2,0,0,0,0,0,0,1,NA,NA,NA
286,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
287,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
288,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
