osm_link_id,model_link_id,ROUTE_SYS,OSMlanes,mndot,widot,anoka,hennepin,carver,dakota,washington,here,naive,dot,lanes,osm_latest,osm_latest_min,osm_latest_max,osm_latest_mode
178547086,142,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
258990898,143,,0,0,0,0,0,0,0,0,1,1,0,1,,,,
18235015,144,,0,1,0,0,0,0,0,0,0,1,1,1,,,,
18289319,145,,0,1,0,0,0,0,0,0,1,1,1,1,,,,
"362,655,864,258,990,000",146,,0,1,0,0,0,0,0,0,1,1,1,1,,,,
18301034,147,10,0,1,0,0,0,0,0,1,1,1,1,1,,,,
18301034,148,4,0,1,0,0,0,0,0,1,1,1,1,1,,,,
"552,031,065,588,151,000",149,10,0,0,0,0,0,0,0,0,1,1,0,1,,,,
"552,031,065,623,589,000",150,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
46349573,151,4,0,2,0,0,0,0,0,2,0,1,2,2,,,,
18291865,152,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
251865880,153,4,0,2,0,0,0,0,0,2,2,1,2,2,,,,
251865884,154,4,0,2,0,0,0,0,0,2,2,1,2,2,,,,
18291848,155,,0,0,0,0,0,0,0,0,1,1,0,1,,,,
18219084,156,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
18210551,157,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
258990865,158,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
258990865,159,,0,0,0,0,0,0,0,0,1,1,0,1,,,,
258990867,160,,0,1,0,0,0,0,0,0,1,1,1,1,,,,
"18,295,705,258,990,800",161,,0,1,0,0,0,0,0,0,1,1,1,1,,,,
258990867,162,,0,1,0,0,0,0,0,0,1,1,1,1,,,,
258990867,163,,0,0,0,0,0,0,0,0,1,1,0,1,,,,
258990880,164,,0,1,0,0,0,0,0,0,1,1,1,1,,,,
258990897,165,,0,1,0,0,0,0,0,0,1,1,1,1,,,,
"258,990,880,258,990,000",166,,0,1,0,0,0,0,0,0,1,1,1,1,,,,
258990867,167,,0,1,0,0,0,0,0,0,1,1,1,1,,,,
258990880,168,,0,1,0,0,0,0,0,0,1,1,1,1,,,,
"258,990,880,258,990,000",169,,0,1,0,0,0,0,0,0,1,1,1,1,,,,
18291863,170,,0,1,0,0,0,0,0,0,1,1,1,1,,,,
18291863,171,,0,1,0,0,0,0,0,0,1,1,1,1,,,,
18077619,172,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
35878859,173,21,0,1,0,0,0,0,0,0,1,1,1,1,,,,
35878859,174,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
353980874,175,,0,0,1,0,0,0,0,0,1,1,1,1,,,,
18072500,176,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
18072500,177,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
76767475,178,21,0,0,0,0,0,0,0,0,1,1,0,1,,,,
76767460,179,21,0,0,0,0,0,0,0,0,1,1,0,1,,,,
76767460,180,26,0,0,0,0,0,0,0,0,1,1,0,1,,,,
76767472,181,21,0,0,0,0,0,0,0,0,1,1,0,1,,,,
76767460,182,10,0,0,0,0,0,0,0,0,1,1,0,1,,,,
76767460,183,10,0,0,0,0,0,0,0,0,1,1,0,1,,,,
76767472,184,21,0,0,0,0,0,0,0,0,1,1,0,1,,,,
76767469,185,10,0,0,0,0,0,0,0,0,1,1,0,1,,,,
18232990,186,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
18072500,187,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
18072500,188,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
76767464,189,21,0,0,0,0,0,0,0,0,1,1,0,1,,,,
